case_id,true_state,is_fraud,e1_new_account,e2_domain_mismatch,verified,e3_confirms,fraud_prob_pre_verification,final_fraud_prob,action,outcome,case_cost_rs
61,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
62,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
63,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
64,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
65,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
66,Something else,1,0,1,0,,1.0,1.0,Escalate,TP,0
67,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
68,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
69,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
70,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
71,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
72,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
73,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
74,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
75,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
76,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
77,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
78,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
79,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
80,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
81,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
82,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
83,Compromised,1,0,0,1,0,0.012353,0.095745,Escalate,TP,300
84,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
85,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
86,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
87,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
88,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
89,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
90,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
91,Impersonation,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
92,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
93,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
94,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
95,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
96,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
97,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
98,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
99,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
100,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
101,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
102,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
103,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
104,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
105,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
106,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
107,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
108,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
109,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
110,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
111,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
112,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
113,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
114,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
115,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
116,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
117,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
118,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
119,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
120,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
121,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
122,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
123,Compromised,1,1,0,1,1,0.62522,0.093602,Escalate,TP,300
124,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
125,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
126,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
127,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
128,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
129,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
130,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
131,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
132,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
133,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
134,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
135,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
136,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
137,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
138,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
139,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
140,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
141,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
142,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
143,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
144,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
145,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
146,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
147,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
148,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
149,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
150,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
151,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
152,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
153,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
154,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
155,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
156,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
157,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
158,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
159,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
160,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
161,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
162,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
163,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
164,Insider,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
165,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
166,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
167,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
168,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
169,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
170,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
171,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
172,Compromised,1,0,0,1,0,0.012353,0.095745,Escalate,TP,300
173,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
174,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
175,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
176,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
177,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
178,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
179,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
180,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
181,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
182,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
183,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
184,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
185,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
186,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
187,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
188,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
189,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
190,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
191,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
192,Insider,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
193,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
194,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
195,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
196,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
197,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
198,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
199,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
200,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
201,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
202,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
203,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
204,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
205,Something else,1,1,1,0,,1.0,1.0,Escalate,TP,0
206,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
207,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
208,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
209,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
210,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
211,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
212,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
213,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
214,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
215,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
216,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
217,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
218,Impersonation,1,0,1,0,,1.0,1.0,Escalate,TP,0
219,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
220,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
221,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
222,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
223,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
224,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
225,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
226,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
227,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
228,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
229,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
230,Something else,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
231,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
232,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
233,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
234,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
235,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
236,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
237,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
238,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
239,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
240,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
241,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
242,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
243,Insider,1,0,0,1,0,0.012353,0.095745,Escalate,TP,300
244,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
245,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
246,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
247,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
248,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
249,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
250,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
251,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
252,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
253,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
254,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
255,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
256,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
257,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
258,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
259,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
260,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
261,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
262,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
263,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
264,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
265,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
266,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
267,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
268,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
269,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
270,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
271,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
272,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
273,Something else,1,0,1,0,,1.0,1.0,Escalate,TP,0
274,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
275,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
276,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
277,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
278,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
279,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
280,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
281,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
282,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
283,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
284,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
285,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
286,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
287,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
288,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
289,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
290,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
291,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
292,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
293,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
294,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
295,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
296,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
297,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
298,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
299,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
300,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
301,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
302,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
303,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
304,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
305,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
306,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
307,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
308,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
309,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
310,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
311,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
312,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
313,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
314,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
315,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
316,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
317,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
318,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
319,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
320,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
321,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
322,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
323,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
324,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
325,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
326,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
327,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
328,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
329,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
330,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
331,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
332,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
333,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
334,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
335,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
336,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
337,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
338,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
339,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
340,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
341,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
342,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
343,Insider,1,1,1,0,,1.0,1.0,Escalate,TP,0
344,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
345,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
346,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
347,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
348,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
349,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
350,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
351,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
352,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
353,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
354,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
355,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
356,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
357,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
358,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
359,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
360,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
361,Insider,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
362,Insider,1,1,1,0,,1.0,1.0,Escalate,TP,0
363,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
364,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
365,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
366,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
367,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
368,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
369,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
370,Impersonation,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
371,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
372,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
373,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
374,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
375,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
376,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
377,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
378,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
379,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
380,Something else,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
381,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
382,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
